Source,Target,Weight
Aemon,Grenn,5
Aemon,Samwell,31
Aerys,Jaime,18
Aerys,Robert,6
Aerys,Tyrion,5
Belwas,Illyrio,10
Beric,Anguy,4
Bronn,Gregor,5
Bronn,Podrick,19
Brynden,Lothar,4
Brynden,Walder,5
Catelyn,Bran,4
Catelyn,Brienne,7
Catelyn,Brynden,8
Catelyn,Cersei,4
